CommunityName,Category,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
CFB - LINCOLN PARK PMQ,Theft FROM Vehicle,,,,,,,,,,,,6
CFB - LINCOLN PARK PMQ,Social Disorder,,1,4,2,6,1,6,3,2,3,2,3
CFB - LINCOLN PARK PMQ,Physical Disorder,,1,,,,,1,1,,,,1
,,,,,,,,,,,,,
CHAPARRAL,Assault (Non-domestic),,,,,,,,,1,1,,1
CHAPARRAL,Commercial Robbery,,,,,,,,,,,,
CHAPARRAL,Street Robbery,,,,,,,,,,,,
CHAPARRAL,Violence  'Other' (Non-domestic),,,1,,,3,1,,,,,1
CHAPARRAL,Residential Break & Enter,,,3,1,1,2,3,7,2,5,5,
CHAPARRAL,Commercial Break & Enter,,,,,,1,4,,,1,1,4
CHAPARRAL,Theft OF Vehicle,2,,1,1,2,1,2,1,3,,3,3
CHAPARRAL,Theft FROM Vehicle,1,1,5,2,9,2,9,10,10,8,7,17
CHAPARRAL,Social Disorder,22,20,35,41,45,36,29,30,27,25,21,26
CHAPARRAL,Physical Disorder,,5,2,3,1,5,1,3,3,2,1,2
,,,,,,,,,,,,,
CHARLESWOOD,Assault (Non-domestic),,,,,,,3,1,,,,
CHARLESWOOD,Commercial Robbery,,,,,,,,,,,,
CHARLESWOOD,Street Robbery,,,,,,,,,,,,
CHARLESWOOD,Violence  'Other' (Non-domestic),,,,,,,,1,,,,
CHARLESWOOD,Residential Break & Enter,,1,2,4,,1,1,3,5,3,,4
CHARLESWOOD,Commercial Break & Enter,1,,,,,,,1,,,,
CHARLESWOOD,Theft OF Vehicle,2,,2,,1,,1,1,,,1,
CHARLESWOOD,Theft FROM Vehicle,2,2,3,6,5,1,,1,5,2,1,4
CHARLESWOOD,Social Disorder,5,9,17,11,15,10,15,14,11,12,9,4
CHARLESWOOD,Physical Disorder,,,1,1,,1,1,1,,1,1,1
,,,,,,,,,,,,,
CHINATOWN,Assault (Non-domestic),,1,1,2,1,3,2,5,,,,
CHINATOWN,Commercial Robbery,,,,,,,,,,,,
CHINATOWN,Street Robbery,,,2,,,,,,,,1,
CHINATOWN,Violence  'Other' (Non-domestic),1,,,,,,,,,,,
CHINATOWN,Residential Break & Enter,,,1,,,,,1,,,,
CHINATOWN,Commercial Break & Enter,4,3,2,,2,1,1,1,,1,2,
CHINATOWN,Theft OF Vehicle,,,,,,,,1,,1,,1
CHINATOWN,Theft FROM Vehicle,6,4,,3,4,3,2,3,4,3,5,1
CHINATOWN,Social Disorder,6,14,21,23,10,8,17,15,21,9,10,7
CHINATOWN,Physical Disorder,2,,,2,1,,1,1,,,,
,,,,,,,,,,,,,
CHINOOK PARK,Assault (Non-domestic),,,,,1,,,,1,,,1
CHINOOK PARK,Commercial Robbery,,,,,,,,,,,,
CHINOOK PARK,Street Robbery,,,,,,,,,,,,
CHINOOK PARK,Violence  'Other' (Non-domestic),,,,,,,,,,,,
CHINOOK PARK,Residential Break & Enter,2,,1,2,1,,,2,1,2,,1
CHINOOK PARK,Commercial Break & Enter,,,,,,,,,,,,
CHINOOK PARK,Theft OF Vehicle,,,,1,,,,,,4,,
CHINOOK PARK,Theft FROM Vehicle,2,,1,2,1,,,2,1,1,2,
CHINOOK PARK,Social Disorder,2,,4,5,4,11,9,11,7,5,3,3
CHINOOK PARK,Physical Disorder,1,,,1,2,1,,1,,1,1,
,,,,,,,,,,,,,
CHRISTIE PARK,Assault (Non-domestic),,,,,,,,,,,,
CHRISTIE PARK,Commercial Robbery,,,,,,,,,,,,
CHRISTIE PARK,Street Robbery,,,,,,,,,,,,
CHRISTIE PARK,Violence  'Other' (Non-domestic),,,,,,,,,,,,
CHRISTIE PARK,Residential Break & Enter,,,,1,1,1,2,,1,,,
CHRISTIE PARK,Commercial Break & Enter,,,,,,,,,,,,
CHRISTIE PARK,Theft OF Vehicle,,,,,,2,,,1,,,
CHRISTIE PARK,Theft FROM Vehicle,1,,,2,1,1,2,1,2,1,2,2
CHRISTIE PARK,Social Disorder,5,4,2,8,7,,6,4,2,7,4,5
CHRISTIE PARK,Physical Disorder,,2,,,,,,,,1,,
,,,,,,,,,,,,,
CITADEL,Assault (Non-domestic),1,1,,,,,,,1,,2,
CITADEL,Commercial Robbery,,,1,,,,,,,,,
CITADEL,Street Robbery,,,,,,,,,,,,
CITADEL,Violence  'Other' (Non-domestic),,1,1,1,,,,1,1,,,
CITADEL,Residential Break & Enter,5,3,,1,,1,2,3,1,2,1,1
CITADEL,Commercial Break & Enter,,,,,,,,,1,,,
CITADEL,Theft OF Vehicle,3,,,,1,,1,1,1,1,2,
CITADEL,Theft FROM Vehicle,8,3,1,1,1,4,1,1,4,3,2,1
CITADEL,Social Disorder,13,21,8,15,20,19,19,16,19,15,19,20
CITADEL,Physical Disorder,4,1,,1,2,,1,1,,,,1
,,,,,,,,,,,,,
CITYSCAPE,Assault (Non-domestic),,,,,,,,,,,,
CITYSCAPE,Commercial Robbery,,,,,,,,,,,,
CITYSCAPE,Street Robbery,,,,,,,,,,,,
CITYSCAPE,Violence  'Other' (Non-domestic),,,,,,,,,,,,
CITYSCAPE,Residential Break & Enter,,,1,,,,,,1,,2,1
CITYSCAPE,Commercial Break & Enter,,,,,,,,,,1,,
CITYSCAPE,Theft OF Vehicle,,,,,2,,1,,,,,
CITYSCAPE,Theft FROM Vehicle,,,1,,,,1,,,2,,1
CITYSCAPE,Social Disorder,4,7,2,2,4,2,8,8,9,3,3,1
CITYSCAPE,Physical Disorder,,,,1,,,,1,1,2,,
,,,,,,,,,,,,,
CLIFF BUNGALOW,Assault (Non-domestic),1,1,,,,1,3,3,2,3,,1
CLIFF BUNGALOW,Commercial Robbery,,,,1,1,,,,,1,,
CLIFF BUNGALOW,Street Robbery,,,,,,1,,,,1,,
CLIFF BUNGALOW,Violence  'Other' (Non-domestic),,,,,,,,,1,,,
CLIFF BUNGALOW,Residential Break & Enter,,,1,1,,1,3,2,,1,,
CLIFF BUNGALOW,Commercial Break & Enter,1,,1,,1,,2,,,,2,1
CLIFF BUNGALOW,Theft OF Vehicle,1,3,2,2,2,,,,1,1,1,1
CLIFF BUNGALOW,Theft FROM Vehicle,7,,1,1,7,2,5,1,7,8,1,1
CLIFF BUNGALOW,Social Disorder,51,45,56,50,62,56,71,72,72,74,54,76
CLIFF BUNGALOW,Physical Disorder,3,1,4,3,5,,4,4,1,1,2,1
,,,,,,,,,,,,,
COACH HILL,Assault (Non-domestic),1,,,,,,,,,,,
COACH HILL,Commercial Robbery,1,,,,,,,,,,,
COACH HILL,Street Robbery,,,,,,,,,,,,
COACH HILL,Violence  'Other' (Non-domestic),,,,,1,1,1,,,,,
COACH HILL,Residential Break & Enter,1,1,1,2,3,2,2,1,1,1,,2
COACH HILL,Commercial Break & Enter,,,,,,,,,1,,,1
COACH HILL,Theft OF Vehicle,,,,2,1,1,1,1,,,,
COACH HILL,Theft FROM Vehicle,2,,3,5,3,1,5,,1,2,,5
COACH HILL,Social Disorder,6,5,6,7,9,9,11,6,10,13,4,6
COACH HILL,Physical Disorder,,,5,,,,,,,1,4,
,,,,,,,,,,,,,
COLLINGWOOD,Assault (Non-domestic),,,,,,,,,1,,,
COLLINGWOOD,Commercial Robbery,,,,,,,,,,,,
COLLINGWOOD,Street Robbery,,1,,,,,,,1,,,
COLLINGWOOD,Violence  'Other' (Non-domestic),,1,,,,,,,,,,
COLLINGWOOD,Residential Break & Enter,,,,,1,,,2,1,,2,1
COLLINGWOOD,Commercial Break & Enter,2,1,1,1,,,,,,1,1,1
COLLINGWOOD,Theft OF Vehicle,2,1,,,1,1,1,1,2,1,3,
COLLINGWOOD,Theft FROM Vehicle,2,1,2,1,6,3,1,3,1,1,2,1
COLLINGWOOD,Social Disorder,5,4,4,10,8,12,5,16,7,9,6,10
COLLINGWOOD,Physical Disorder,1,3,,2,,,,,2,2,1,2
,,,,,,,,,,,,,
COPPERFIELD,Assault (Non-domestic),,1,2,,1,1,,,,,,
COPPERFIELD,Commercial Robbery,,,,,,,,1,,,,
COPPERFIELD,Street Robbery,,,,,,,,,,,,
COPPERFIELD,Violence  'Other' (Non-domestic),1,,,,,,,,,,,
COPPERFIELD,Residential Break & Enter,3,,2,,2,4,2,2,7,1,1,2
COPPERFIELD,Commercial Break & Enter,1,6,,,,2,,2,,1,,
COPPERFIELD,Theft OF Vehicle,2,,,1,,4,1,3,2,1,1,3
COPPERFIELD,Theft FROM Vehicle,11,3,4,5,9,7,2,20,11,10,2,7
COPPERFIELD,Social Disorder,41,29,42,31,43,47,40,42,42,34,32,32
COPPERFIELD,Physical Disorder,1,,6,4,1,2,6,4,1,,2,2
,,,,,,,,,,,,,
CORAL SPRINGS,Assault (Non-domestic),,,,,,,2,,3,,1,
CORAL SPRINGS,Commercial Robbery,,,,,,,,,,,,
CORAL SPRINGS,Street Robbery,,,,,,,,,,,,
CORAL SPRINGS,Violence  'Other' (Non-domestic),,1,1,,,1,1,,1,,1,
CORAL SPRINGS,Residential Break & Enter,,,2,1,,1,,2,,1,4,2
CORAL SPRINGS,Commercial Break & Enter,,,,,,,,,,,,1
CORAL SPRINGS,Theft OF Vehicle,1,2,,2,2,,2,,1,1,4,
CORAL SPRINGS,Theft FROM Vehicle,1,2,3,2,3,1,2,3,3,,,2
CORAL SPRINGS,Social Disorder,9,14,16,19,13,20,11,19,23,16,17,15
CORAL SPRINGS,Physical Disorder,,2,1,2,1,,2,1,3,,,1
,,,,,,,,,,,,,
COUGAR RIDGE,Assault (Non-domestic),,,,,,,,1,1,,,
COUGAR RIDGE,Commercial Robbery,,,,,,,,,,,,
COUGAR RIDGE,Street Robbery,,,,,,,,,,,,
COUGAR RIDGE,Violence  'Other' (Non-domestic),,,,,,,,,,,,1
COUGAR RIDGE,Residential Break & Enter,2,1,1,,,1,5,2,,,3,3
COUGAR RIDGE,Commercial Break & Enter,,2,,,,,,,,,1,
COUGAR RIDGE,Theft OF Vehicle,,1,,1,,1,,,,1,1,2
COUGAR RIDGE,Theft FROM Vehicle,2,5,3,1,2,1,5,1,4,2,1,4
COUGAR RIDGE,Social Disorder,9,9,5,6,8,11,6,15,12,10,16,4
COUGAR RIDGE,Physical Disorder,1,,2,1,1,,,1,3,,1,1
,,,,,,,,,,,,,
COUNTRY HILLS,Assault (Non-domestic),,,,,,1,,,,,,
COUNTRY HILLS,Commercial Robbery,1,,,1,,,,,,,,
COUNTRY HILLS,Street Robbery,,,,,,,,,1,,,
COUNTRY HILLS,Violence  'Other' (Non-domestic),,1,,,,,1,,,,,
COUNTRY HILLS,Residential Break & Enter,1,3,1,2,,3,2,3,1,1,,1
COUNTRY HILLS,Commercial Break & Enter,,1,,,,,,,,1,,
COUNTRY HILLS,Theft OF Vehicle,1,1,,1,,,3,1,2,,,1
COUNTRY HILLS,Theft FROM Vehicle,2,,3,1,2,,3,2,1,2,1,
COUNTRY HILLS,Social Disorder,8,7,11,6,9,6,11,10,9,10,12,4
COUNTRY HILLS,Physical Disorder,,1,,2,,1,2,,,3,1,
,,,,,,,,,,,,,
COUNTRY HILLS VILLAGE,Assault (Non-domestic),,,1,4,2,,,2,1,1,,2
COUNTRY HILLS VILLAGE,Commercial Robbery,,,,,,,,,,,,
COUNTRY HILLS VILLAGE,Street Robbery,,,,,,,,,,,,
COUNTRY HILLS VILLAGE,Violence  'Other' (Non-domestic),,,1,,,,,,,,,
COUNTRY HILLS VILLAGE,Residential Break & Enter,,1,2,,,,,1,1,1,,
COUNTRY HILLS VILLAGE,Commercial Break & Enter,,,,,,,2,,1,1,2,1
COUNTRY HILLS VILLAGE,Theft OF Vehicle,,,,,,,1,,1,,,2
COUNTRY HILLS VILLAGE,Theft FROM Vehicle,2,3,3,3,,1,2,1,2,2,2,2
COUNTRY HILLS VILLAGE,Social Disorder,9,10,14,16,16,9,19,24,22,16,14,11
COUNTRY HILLS VILLAGE,Physical Disorder,4,1,1,1,1,,3,2,2,1,3,1
,,,,,,,,,,,,,
COVENTRY HILLS,Assault (Non-domestic),2,,,,1,1,,,,,1,2
COVENTRY HILLS,Commercial Robbery,,1,,,,,,,,,,
COVENTRY HILLS,Street Robbery,,,,,,,,,1,,,
COVENTRY HILLS,Violence  'Other' (Non-domestic),,2,1,1,,,1,,,1,1,
COVENTRY HILLS,Residential Break & Enter,2,4,1,10,6,,4,9,6,7,1,2
COVENTRY HILLS,Commercial Break & Enter,,,,1,1,,,,,,2,
COVENTRY HILLS,Theft OF Vehicle,3,3,2,5,3,3,1,3,3,8,5,1
COVENTRY HILLS,Theft FROM Vehicle,5,9,10,1,13,3,4,6,16,10,6,9
COVENTRY HILLS,Social Disorder,41,39,45,55,39,60,50,62,56,66,47,48
COVENTRY HILLS,Physical Disorder,1,4,7,6,3,3,1,4,2,6,7,5
,,,,,,,,,,,,,
CRANSTON,Assault (Non-domestic),1,,2,1,2,,,,,,3,1
CRANSTON,Commercial Robbery,,,,,,,,,,,,
CRANSTON,Street Robbery,,,,,,,,,,,,
CRANSTON,Violence  'Other' (Non-domestic),1,1,1,,,1,,,,,1,1
CRANSTON,Residential Break & Enter,,1,1,1,2,4,2,1,8,2,4,1
CRANSTON,Commercial Break & Enter,1,2,1,2,1,,1,1,1,1,,
CRANSTON,Theft OF Vehicle,2,,,1,4,2,4,1,,4,3,4
CRANSTON,Theft FROM Vehicle,5,3,6,7,4,10,11,7,17,14,18,17
CRANSTON,Social Disorder,41,36,56,36,37,46,51,46,52,34,33,28
CRANSTON,Physical Disorder,3,4,2,3,1,5,1,2,1,2,3,2
,,,,,,,,,,,,,
CRESCENT HEIGHTS,Assault (Non-domestic),3,2,1,1,2,1,1,2,3,1,2,
CRESCENT HEIGHTS,Commercial Robbery,,,,,,,,1,1,,,
CRESCENT HEIGHTS,Street Robbery,,,,1,,2,,,,,,1
CRESCENT HEIGHTS,Violence  'Other' (Non-domestic),,,2,2,1,1,1,1,,,1,
CRESCENT HEIGHTS,Residential Break & Enter,2,6,5,12,4,2,1,8,7,3,3,2
CRESCENT HEIGHTS,Commercial Break & Enter,4,6,5,1,7,4,1,1,4,5,6,7
CRESCENT HEIGHTS,Theft OF Vehicle,9,7,4,2,1,2,2,4,4,1,6,5
CRESCENT HEIGHTS,Theft FROM Vehicle,18,11,17,8,5,5,7,2,9,16,15,23
CRESCENT HEIGHTS,Social Disorder,70,57,69,73,65,63,88,70,58,51,72,50
CRESCENT HEIGHTS,Physical Disorder,6,5,6,6,2,6,5,4,1,10,3,11
,,,,,,,,,,,,,
CRESTMONT,Assault (Non-domestic),,,,,,,,,,,,
CRESTMONT,Commercial Robbery,,,,,,,,,,,,
CRESTMONT,Street Robbery,,,,,,,,,,,,
CRESTMONT,Violence  'Other' (Non-domestic),,,,,,,,,,,,1
CRESTMONT,Residential Break & Enter,2,,,,,1,,,,1,,
CRESTMONT,Commercial Break & Enter,,,,,,,,1,,1,,
CRESTMONT,Theft OF Vehicle,1,,1,,,,1,1,,,,
CRESTMONT,Theft FROM Vehicle,1,2,1,,,,,2,1,1,1,1
CRESTMONT,Social Disorder,5,2,,4,5,6,2,2,3,,1,4
CRESTMONT,Physical Disorder,,2,1,,1,,,,1,,,1
,,,,,,,,,,,,,
DALHOUSIE,Assault (Non-domestic),1,1,2,,1,2,,1,,1,1,1
DALHOUSIE,Commercial Robbery,1,,,,,,,,,,,
DALHOUSIE,Street Robbery,,,,,,,,,,,,
DALHOUSIE,Violence  'Other' (Non-domestic),,,,,1,,2,,1,,1,2
DALHOUSIE,Residential Break & Enter,1,1,1,3,5,1,1,3,1,2,1,2
DALHOUSIE,Commercial Break & Enter,1,2,,3,,1,,,,1,,1
DALHOUSIE,Theft OF Vehicle,1,,2,3,,5,2,1,,4,5,4
DALHOUSIE,Theft FROM Vehicle,3,7,2,4,8,3,3,7,4,5,4,6
DALHOUSIE,Social Disorder,38,21,47,30,31,36,30,27,33,30,27,26
DALHOUSIE,Physical Disorder,2,3,1,4,3,1,,3,2,2,1,4
,,,,,,,,,,,,,
DEER RIDGE,Assault (Non-domestic),,1,,1,,,1,2,,,2,
DEER RIDGE,Commercial Robbery,1,,,,,1,,,1,,,
DEER RIDGE,Street Robbery,,,,,,,1,,,,,
DEER RIDGE,Violence  'Other' (Non-domestic),,,2,2,,2,,1,,,,
DEER RIDGE,Residential Break & Enter,1,,1,1,1,1,3,,1,,1,2
DEER RIDGE,Commercial Break & Enter,,2,,1,,,1,,1,2,,2
DEER RIDGE,Theft OF Vehicle,,2,,1,2,,1,1,,1,3,2
DEER RIDGE,Theft FROM Vehicle,7,5,3,,4,2,2,2,1,8,4,4
DEER RIDGE,Social Disorder,25,16,28,21,21,18,24,31,16,13,23,16
DEER RIDGE,Physical Disorder,,2,4,6,3,2,2,4,2,,4,2
,,,,,,,,,,,,,
DEER RUN,Assault (Non-domestic),,,,,,,1,,,,,
DEER RUN,Commercial Robbery,,,,,,,,,,,,
DEER RUN,Street Robbery,,,,,,,1,,,,,
DEER RUN,Violence  'Other' (Non-domestic),,1,,,,1,,,1,,,
DEER RUN,Residential Break & Enter,1,,1,2,1,1,1,,,3,2,
DEER RUN,Commercial Break & Enter,,,,,,,,,,,,
DEER RUN,Theft OF Vehicle,1,,1,4,,1,2,,1,2,1,2
DEER RUN,Theft FROM Vehicle,2,1,2,2,1,,2,3,,3,9,1
DEER RUN,Social Disorder,11,10,12,11,16,14,18,5,11,22,8,6
DEER RUN,Physical Disorder,3,,1,,1,,3,1,2,3,1,1
,,,,,,,,,,,,,
DEERFOOT BUSINESS CENTRE,Assault (Non-domestic),,,,,1,,,,,,,1
DEERFOOT BUSINESS CENTRE,Commercial Robbery,,,,,,,,,,1,,
DEERFOOT BUSINESS CENTRE,Street Robbery,,,,,,,,,,,,
DEERFOOT BUSINESS CENTRE,Violence  'Other' (Non-domestic),,,,,1,,,,,,,
DEERFOOT BUSINESS CENTRE,Residential Break & Enter,,1,,,,,1,,,,,
DEERFOOT BUSINESS CENTRE,Commercial Break & Enter,1,,,2,1,,1,2,,,,1
DEERFOOT BUSINESS CENTRE,Theft OF Vehicle,,2,4,2,1,,2,,1,1,,1
DEERFOOT BUSINESS CENTRE,Theft FROM Vehicle,,2,1,1,1,1,2,2,,1,1,5
DEERFOOT BUSINESS CENTRE,Social Disorder,4,6,7,3,5,8,6,7,12,3,9,8
DEERFOOT BUSINESS CENTRE,Physical Disorder,,,2,,,1,2,2,,,,1
,,,,,,,,,,,,,
DIAMOND COVE,Assault (Non-domestic),,,,,,,,,,,,
DIAMOND COVE,Commercial Robbery,,,,,,,,,,,,
DIAMOND COVE,Street Robbery,,,,,,,,,,,,
DIAMOND COVE,Violence  'Other' (Non-domestic),,1,,,,,,,,,,
DIAMOND COVE,Residential Break & Enter,1,3,,,1,,2,2,1,,1,1
DIAMOND COVE,Commercial Break & Enter,,,,,,,,,,,,
DIAMOND COVE,Theft OF Vehicle,,,1,,,,1,1,,,,
DIAMOND COVE,Theft FROM Vehicle,1,2,,2,,3,1,2,1,4,2,
DIAMOND COVE,Social Disorder,2,,1,1,3,2,2,1,2,3,2,3
DIAMOND COVE,Physical Disorder,,,1,,,,,3,1,2,,
,,,,,,,,,,,,,
DISCOVERY RIDGE,Assault (Non-domestic),,,,,,,,1,,,,1
DISCOVERY RIDGE,Commercial Robbery,,,,,,,,,,,,
DISCOVERY RIDGE,Street Robbery,,,,,,,,,,,,
DISCOVERY RIDGE,Violence  'Other' (Non-domestic),,,,,,1,,,,,,
DISCOVERY RIDGE,Residential Break & Enter,,,1,2,2,3,2,1,1,,3,
DISCOVERY RIDGE,Commercial Break & Enter,,,,,,,,,,,,
DISCOVERY RIDGE,Theft OF Vehicle,,,,,,1,1,,1,2,,2
DISCOVERY RIDGE,Theft FROM Vehicle,,,1,1,1,,1,2,5,3,4,4
DISCOVERY RIDGE,Social Disorder,5,5,7,11,14,17,7,10,14,8,9,8
DISCOVERY RIDGE,Physical Disorder,,,,1,3,1,1,,1,1,1,1
,,,,,,,,,,,,,
DOUGLASDALE/GLEN,Assault (Non-domestic),,1,,,,2,,,,,,
DOUGLASDALE/GLEN,Commercial Robbery,,,,,,,,,,,1,
DOUGLASDALE/GLEN,Street Robbery,,,1,,,,,,,,,
DOUGLASDALE/GLEN,Violence  'Other' (Non-domestic),,,,,,,,1,,,2,1
DOUGLASDALE/GLEN,Residential Break & Enter,5,6,8,4,5,4,1,7,2,2,3,3
DOUGLASDALE/GLEN,Commercial Break & Enter,,2,1,1,,,,,,,,1
DOUGLASDALE/GLEN,Theft OF Vehicle,2,1,1,2,3,3,3,2,2,3,3,5
DOUGLASDALE/GLEN,Theft FROM Vehicle,2,4,3,3,11,7,6,8,4,14,11,11
DOUGLASDALE/GLEN,Social Disorder,15,30,30,35,35,40,32,39,39,21,21,19
DOUGLASDALE/GLEN,Physical Disorder,3,5,6,2,5,2,2,5,6,1,2,4
,,,,,,,,,,,,,
DOVER,Assault (Non-domestic),4,2,3,4,4,4,,2,6,2,,2
DOVER,Commercial Robbery,4,,,,1,1,,1,,1,,
DOVER,Street Robbery,1,,2,1,1,1,1,,,,1,
DOVER,Violence  'Other' (Non-domestic),3,2,,,,2,,2,1,1,2,1
DOVER,Residential Break & Enter,1,3,9,1,3,6,8,5,1,2,2,10
DOVER,Commercial Break & Enter,2,,2,2,1,1,1,1,,2,2,3
DOVER,Theft OF Vehicle,5,4,5,4,2,9,6,8,7,8,5,12
DOVER,Theft FROM Vehicle,25,11,10,7,28,12,19,18,11,13,22,5
DOVER,Social Disorder,103,112,100,103,92,118,110,105,105,97,107,88
DOVER,Physical Disorder,12,8,8,8,11,13,7,7,9,11,11,5
,,,,,,,,,,,,,
DOWNTOWN COMMERCIAL CORE,Assault (Non-domestic),21,24,16,17,17,20,21,15,10,16,11,18
DOWNTOWN COMMERCIAL CORE,Commercial Robbery,,,2,,,,,1,,,,
DOWNTOWN COMMERCIAL CORE,Street Robbery,6,4,6,3,5,5,4,,1,1,1,2
DOWNTOWN COMMERCIAL CORE,Violence  'Other' (Non-domestic),6,3,3,5,5,4,9,5,3,9,4,5
DOWNTOWN COMMERCIAL CORE,Residential Break & Enter,3,3,2,2,1,,2,1,1,1,1,1
DOWNTOWN COMMERCIAL CORE,Commercial Break & Enter,7,15,7,10,10,7,18,6,10,7,5,10
DOWNTOWN COMMERCIAL CORE,Theft OF Vehicle,4,9,9,7,2,6,11,4,5,2,2,9
DOWNTOWN COMMERCIAL CORE,Theft FROM Vehicle,25,19,18,28,32,16,38,30,26,32,28,25
DOWNTOWN COMMERCIAL CORE,Social Disorder,681,532,515,498,437,393,509,453,410,444,454,560
DOWNTOWN COMMERCIAL CORE,Physical Disorder,25,25,34,23,22,17,27,26,23,19,17,25
,,,,,,,,,,,,,
DOWNTOWN EAST VILLAGE,Assault (Non-domestic),9,6,8,4,5,,5,4,3,,1,2
DOWNTOWN EAST VILLAGE,Commercial Robbery,,,,,1,,,,,,,
DOWNTOWN EAST VILLAGE,Street Robbery,,1,,2,1,1,,,,1,,
DOWNTOWN EAST VILLAGE,Violence  'Other' (Non-domestic),,,,1,1,,,1,1,,2,1
DOWNTOWN EAST VILLAGE,Residential Break & Enter,,,1,,,,1,3,1,,1,1
DOWNTOWN EAST VILLAGE,Commercial Break & Enter,,,2,,1,,,2,2,1,,
DOWNTOWN EAST VILLAGE,Theft OF Vehicle,,,,,,,,,2,,,1
DOWNTOWN EAST VILLAGE,Theft FROM Vehicle,3,6,,3,1,4,2,3,4,3,1,
DOWNTOWN EAST VILLAGE,Social Disorder,66,76,83,67,76,91,63,86,74,67,68,74
DOWNTOWN EAST VILLAGE,Physical Disorder,,1,1,,5,6,2,1,2,4,2,1
,,,,,,,,,,,,,
DOWNTOWN WEST END,Assault (Non-domestic),1,2,,,3,2,3,3,3,,,
DOWNTOWN WEST END,Commercial Robbery,,,,,,,1,,,,,
DOWNTOWN WEST END,Street Robbery,,,1,1,1,,2,2,1,,,
DOWNTOWN WEST END,Violence  'Other' (Non-domestic),1,,,,,,1,,2,1,,1
DOWNTOWN WEST END,Residential Break & Enter,,,,,,,,,,1,,
DOWNTOWN WEST END,Commercial Break & Enter,2,,1,2,1,,1,1,1,,,3
DOWNTOWN WEST END,Theft OF Vehicle,1,,,,,,1,2,2,,,
DOWNTOWN WEST END,Theft FROM Vehicle,2,6,1,2,1,1,,3,3,4,2,
DOWNTOWN WEST END,Social Disorder,38,29,57,59,74,58,81,72,57,34,29,28
DOWNTOWN WEST END,Physical Disorder,2,,4,1,1,4,3,3,6,,3,1
,,,,,,,,,,,,,
EAGLE RIDGE,Assault (Non-domestic),,,,1,,,,,,2,3,2
EAGLE RIDGE,Commercial Robbery,,,,,,,,,,,,
EAGLE RIDGE,Street Robbery,,,,,,,,,,,,
EAGLE RIDGE,Violence  'Other' (Non-domestic),,,,,,,,,,1,1,2
EAGLE RIDGE,Residential Break & Enter,,,,,1,,,,,,,
EAGLE RIDGE,Commercial Break & Enter,,,,,,,,,,,,
EAGLE RIDGE,Theft OF Vehicle,,,,,,,,,,,,
EAGLE RIDGE,Theft FROM Vehicle,1,,1,2,,1,1,1,1,2,,1
EAGLE RIDGE,Social Disorder,11,8,11,14,7,11,14,4,5,14,12,9
EAGLE RIDGE,Physical Disorder,,1,2,2,,,,,1,,,3
,,,,,,,,,,,,,
EAST FAIRVIEW INDUSTRIAL,Assault (Non-domestic),1,,,2,1,,,,1,,,1
EAST FAIRVIEW INDUSTRIAL,Commercial Robbery,,,,,,,,,,,,
EAST FAIRVIEW INDUSTRIAL,Street Robbery,,,,,,,,,,,,
EAST FAIRVIEW INDUSTRIAL,Violence  'Other' (Non-domestic),,,,,,,,,,,,
EAST FAIRVIEW INDUSTRIAL,Residential Break & Enter,,,,,,,,,,,,
EAST FAIRVIEW INDUSTRIAL,Commercial Break & Enter,3,,2,3,2,2,,6,3,7,1,3
EAST FAIRVIEW INDUSTRIAL,Theft OF Vehicle,3,1,2,2,,1,,,2,1,,
EAST FAIRVIEW INDUSTRIAL,Theft FROM Vehicle,,1,2,4,1,,5,2,4,6,4,1
EAST FAIRVIEW INDUSTRIAL,Social Disorder,14,24,15,10,20,16,20,15,15,18,15,9
EAST FAIRVIEW INDUSTRIAL,Physical Disorder,4,1,,4,,2,1,,3,2,2,2
,,,,,,,,,,,,,
EAST SHEPARD INDUSTRIAL,Assault (Non-domestic),1,,,1,,,,,,,,2
EAST SHEPARD INDUSTRIAL,Commercial Robbery,,,,,,,,,,,1,
EAST SHEPARD INDUSTRIAL,Street Robbery,,,,,,,,,,,,
EAST SHEPARD INDUSTRIAL,Violence  'Other' (Non-domestic),,,1,,,,,,,,,1
EAST SHEPARD INDUSTRIAL,Residential Break & Enter,,1,,,,1,,,,1,,
EAST SHEPARD INDUSTRIAL,Commercial Break & Enter,3,6,,5,2,8,13,5,5,3,3,1
EAST SHEPARD INDUSTRIAL,Theft OF Vehicle,2,,1,3,2,1,2,,5,3,3,1
EAST SHEPARD INDUSTRIAL,Theft FROM Vehicle,4,2,3,3,2,3,5,2,,2,1,4
EAST SHEPARD INDUSTRIAL,Social Disorder,11,15,15,14,10,16,15,15,13,11,11,11
EAST SHEPARD INDUSTRIAL,Physical Disorder,3,,2,4,2,2,2,2,4,2,1,1
,,,,,,,,,,,,,
EASTFIELD,Assault (Non-domestic),,,,,,,,,,,,
EASTFIELD,Commercial Robbery,,,,,,,,,,,,
EASTFIELD,Street Robbery,,,,,,,,,,,,
EASTFIELD,Violence  'Other' (Non-domestic),,,,,,,,,,,,
EASTFIELD,Residential Break & Enter,,,,,,,,,,,,
EASTFIELD,Commercial Break & Enter,,,1,,1,1,,2,1,2,2,1
EASTFIELD,Theft OF Vehicle,,1,,1,,2,,,1,3,1,1
